transcript	exonic_length	exonic_length_utr5	exonic_length_cds	exonic_length_utr3
ENSMUST00000114513	4966	231	2025	2710
ENSMUST00000094489	1609	75	999	535
ENSMUST00000070533	3634	150	1944	1540
ENSMUST00000115402	3690	682	2067	941
ENSMUST00000171479	3342	19	1422	1901
ENSMUST00000151708	491	23	408	60
ENSMUST00000027431	2083	326	1440	317
ENSMUST00000027146	9278	143	1581	7554
ENSMUST00000016670	3164	184	1761	1219
ENSMUST00000027639	1925	247	1557	121
ENSMUST00000081026	888	100	408	380
ENSMUST00000113510	704	69	564	71
ENSMUST00000190615	1509	NA	NA	NA
ENSMUST00000028061	830	NA	NA	NA
ENSMUST00000169032	2283	191	1245	847
ENSMUST00000005003	3510	106	1881	1523
ENSMUST00000187796	704	NA	NA	NA
ENSMUST00000192778	2385	NA	NA	NA
ENSMUST00000120447	2430	381	1212	837
ENSMUST00000113737	7473	499	5223	1751
ENSMUST00000192961	2708	212	711	1785
ENSMUST00000027449	1042	133	381	528
ENSMUST00000163770	3903	292	3525	86
ENSMUST00000027377	6006	745	816	4445
ENSMUST00000067414	13117	385	5628	7104
ENSMUST00000054674	4878	164	2004	2710
ENSMUST00000193441	4999	298	591	4110
ENSMUST00000185184	4193	447	501	3245
ENSMUST00000193973	683	62	279	342
ENSMUST00000195120	6212	106	3081	3025
ENSMUST00000189247	3364	NA	NA	NA
ENSMUST00000195441	445	NA	NA	NA
ENSMUST00000189534	2454	227	1422	805
ENSMUST00000079205	2892	166	2325	401
ENSMUST00000177458	2521	241	294	1986
ENSMUST00000050536	1940	556	1062	322
ENSMUST00000046658	3252	41	1077	2134
ENSMUST00000041874	1735	414	963	358
ENSMUST00000162627	2773	187	1617	969
ENSMUST00000185893	1421	357	840	224
ENSMUST00000027089	783	184	525	74
ENSMUST00000188641	2014	112	339	1563
ENSMUST00000027396	2966	274	2529	163
ENSMUST00000169600	606	NA	NA	NA
ENSMUST00000168574	2664	275	654	1735
ENSMUST00000062085	1392	59	1179	154
ENSMUST00000143567	11725	873	3618	7234
ENSMUST00000027941	1984	252	546	1186
ENSMUST00000068304	8006	222	4182	3602
ENSMUST00000027897	1680	84	1302	294
ENSMUST00000190901	356	NA	NA	NA
ENSMUST00000189061	3841	205	630	3006
ENSMUST00000181308	1745	NA	NA	NA
ENSMUST00000182283	4702	138	3465	1099
ENSMUST00000176977	562	NA	NA	NA
ENSMUST00000027534	1368	78	1179	111
ENSMUST00000232841	4236	810	522	2904
ENSMUST00000080664	3426	499	1677	1250
ENSMUST00000027886	4237	138	1695	2404
ENSMUST00000222600	830	66	387	377
ENSMUST00000195748	660	NA	NA	NA
ENSMUST00000143787	3408	NA	NA	NA
ENSMUST00000112264	3324	NA	3324	NA
ENSMUST00000027338	683	56	315	312
ENSMUST00000113565	3379	137	3078	164
ENSMUST00000208183	5345	317	4548	480
ENSMUST00000038227	1153	92	1005	56
ENSMUST00000136828	2771	6	1575	1190
ENSMUST00000239380	1828	91	999	738
ENSMUST00000194894	664	46	504	114
ENSMUST00000113672	2003	108	1395	500
ENSMUST00000159122	2053	253	690	1110
ENSMUST00000043338	5535	136	480	4919
ENSMUST00000161002	3033	373	2328	332
ENSMUST00000097531	1751	NA	NA	NA
ENSMUST00000185797	2510	319	1428	763
ENSMUST00000094609	2965	376	1221	1368
ENSMUST00000055294	3745	248	507	2990
ENSMUST00000111306	2185	221	1710	254
ENSMUST00000162650	6288	24	1098	5166
ENSMUST00000043189	5072	427	3474	1171
ENSMUST00000169017	1324	50	801	473
ENSMUST00000045876	3179	76	2712	391
ENSMUST00000068505	3225	170	2103	952
ENSMUST00000198445	6135	190	3945	2000
ENSMUST00000172044	3883	203	1515	2165
ENSMUST00000097739	10583	102	2769	7712
ENSMUST00000122038	2850	282	1272	1296
ENSMUST00000190495	4355	82	2385	1888
ENSMUST00000114079	2030	106	657	1267
ENSMUST00000142609	2769	163	1416	1190
ENSMUST00000113979	4461	297	1200	2964
ENSMUST00000001339	1321	50	846	425
ENSMUST00000181197	2377	NA	NA	NA
ENSMUST00000053355	6091	534	867	4690
ENSMUST00000186164	3808	37	3600	171
ENSMUST00000156816	4203	62	888	3253
ENSMUST00000111859	5092	431	2412	2249
ENSMUST00000182580	473	NA	NA	NA
ENSMUST00000192880	3746	4	2124	1618
ENSMUST00000195454	1704	NA	NA	NA
ENSMUST00000045473	3410	98	2121	1191
ENSMUST00000141249	1752	173	1182	397
ENSMUST00000120904	11263	180	4737	6346
ENSMUST00000193395	578	NA	NA	NA
ENSMUST00000027760	4572	207	2307	2058
ENSMUST00000110891	1214	47	699	468
ENSMUST00000046875	9033	178	4656	4199
ENSMUST00000182043	655	NA	NA	NA
ENSMUST00000111764	2722	52	1986	684
ENSMUST00000045138	2538	86	1107	1345
ENSMUST00000187127	619	NA	NA	NA
ENSMUST00000059937	2887	54	2691	142
ENSMUST00000181554	1193	NA	NA	NA
ENSMUST00000192576	492	NA	NA	NA
ENSMUST00000119432	986	51	864	71
ENSMUST00000048308	3035	227	426	2382
ENSMUST00000110992	2152	184	1029	939
ENSMUST00000169295	2309	398	1224	687
ENSMUST00000116652	1512	249	1260	3
ENSMUST00000178465	1691	92	1599	NA
ENSMUST00000160565	3047	75	2766	206
ENSMUST00000174120	2636	NA	2019	617
ENSMUST00000189899	1188	NA	NA	NA
ENSMUST00000111836	3928	109	3417	402
ENSMUST00000191683	4510	959	1551	2000
ENSMUST00000188956	547	NA	NA	NA
ENSMUST00000131919	3987	33	3891	63
ENSMUST00000153799	3693	503	1842	1348
ENSMUST00000027824	971	154	675	142
ENSMUST00000049126	3632	493	2214	925
ENSMUST00000188581	465	NA	465	NA
ENSMUST00000176154	514	NA	NA	NA
ENSMUST00000151952	7251	324	1608	5319
ENSMUST00000023861	1216	26	1164	26
ENSMUST00000194222	681	NA	NA	NA
ENSMUST00000187628	336	58	273	5
ENSMUST00000195059	2832	127	2358	347
ENSMUST00000192128	1578	29	1344	205
ENSMUST00000016323	2469	153	1434	882
ENSMUST00000186117	498	NA	NA	NA
ENSMUST00000027492	1366	70	1041	255
ENSMUST00000027810	2636	62	1524	1050
ENSMUST00000194111	1501	260	1071	170
ENSMUST00000187410	1135	112	531	492
ENSMUST00000187892	1717	675	726	316
ENSMUST00000111106	2020	104	1347	569
ENSMUST00000190298	9353	220	6297	2836
ENSMUST00000188912	3970	766	1044	2160
ENSMUST00000159688	1084	124	939	21
ENSMUST00000052172	1805	81	1080	644
ENSMUST00000189492	1239	105	708	426
ENSMUST00000177811	4231	446	2370	1415
ENSMUST00000050567	3641	397	321	2923
ENSMUST00000043718	2299	281	1359	659
ENSMUST00000027612	2958	68	2427	463
ENSMUST00000123708	3482	123	1230	2129
ENSMUST00000079625	3285	51	1158	2076
ENSMUST00000056946	2598	70	765	1763
ENSMUST00000192650	3242	1851	1065	326
ENSMUST00000114492	3565	321	321	2923
ENSMUST00000027035	3127	1082	1260	785
ENSMUST00000186694	5385	363	2583	2439
ENSMUST00000111857	3037	477	2301	259
ENSMUST00000111166	1370	400	204	766
ENSMUST00000238949	7029	33	6849	147
ENSMUST00000128619	1819	273	1422	124
ENSMUST00000027343	4844	124	1395	3325
ENSMUST00000195314	1457	NA	NA	NA
ENSMUST00000016105	2771	117	1371	1283
ENSMUST00000186017	5258	224	909	4125
ENSMUST00000177424	4694	51	1848	2795
ENSMUST00000027688	3485	128	1242	2115
ENSMUST00000044190	2839	283	1500	1056
ENSMUST00000113987	2342	218	2103	21
ENSMUST00000193762	1093	70	369	654
ENSMUST00000061878	1558	137	1053	368
ENSMUST00000035430	3619	542	1962	1115
ENSMUST00000110974	2431	109	1683	639
ENSMUST00000046770	742	102	516	124
ENSMUST00000094844	5727	119	5544	64
ENSMUST00000153049	877	NA	NA	NA
ENSMUST00000238926	3747	28	3327	392
ENSMUST00000186213	2840	99	1347	1394
ENSMUST00000180101	571	16	351	204
ENSMUST00000039827	6010	201	3687	2122
ENSMUST00000161611	3821	40	3666	115
ENSMUST00000065767	2359	309	1509	541
ENSMUST00000159038	1957	19	1533	405
ENSMUST00000027151	1082	238	567	277
ENSMUST00000058688	8492	575	612	7305
ENSMUST00000189361	5238	405	3555	1278
ENSMUST00000027249	2975	219	1125	1631
ENSMUST00000193725	654	NA	NA	NA
ENSMUST00000078308	10047	657	3861	5529
ENSMUST00000185761	359	NA	NA	NA
ENSMUST00000111167	1861	320	1425	116
ENSMUST00000113212	1270	134	1083	53
ENSMUST00000160456	3022	497	1512	1013
ENSMUST00000187602	378	50	174	154
ENSMUST00000147509	257	NA	NA	NA
ENSMUST00000027921	5471	109	3039	2323
ENSMUST00000159879	8738	169	1617	6952
ENSMUST00000160908	2591	NA	2310	281
ENSMUST00000185991	3432	NA	NA	NA
ENSMUST00000111159	4906	218	1440	3248
ENSMUST00000128588	851	NA	NA	NA
ENSMUST00000161267	652	114	360	178
ENSMUST00000193898	545	101	189	255
ENSMUST00000186485	6759	385	2796	3578
ENSMUST00000055322	3276	206	927	2143
ENSMUST00000161600	8685	240	1593	6852
ENSMUST00000075805	4986	1037	654	3295
ENSMUST00000053389	1125	48	1056	21
ENSMUST00000186684	2677	932	357	1388
ENSMUST00000191586	317	NA	NA	NA
ENSMUST00000111518	1506	175	549	782
ENSMUST00000186543	3533	704	2577	252
ENSMUST00000086395	1077	NA	1077	NA
ENSMUST00000188894	8043	190	7161	692
ENSMUST00000194632	2433	45	1707	681
ENSMUST00000235071	3288	NA	3288	NA
ENSMUST00000190863	1288	NA	NA	NA
ENSMUST00000005817	4712	275	927	3510
ENSMUST00000044180	3692	105	990	2597
ENSMUST00000097709	2302	208	1245	849
ENSMUST00000027933	4212	144	2190	1878
ENSMUST00000085678	3706	228	2448	1030
ENSMUST00000187489	673	NA	NA	NA
ENSMUST00000027186	6189	392	2742	3055
ENSMUST00000190707	1932	NA	NA	NA
ENSMUST00000188347	4041	460	2520	1061
ENSMUST00000194000	676	NA	NA	NA
ENSMUST00000191125	463	NA	NA	NA
ENSMUST00000182554	1508	61	465	982
ENSMUST00000188909	2414	NA	NA	NA
ENSMUST00000168081	4366	644	1764	1958
ENSMUST00000086837	939	NA	939	NA
ENSMUST00000027657	3045	202	1410	1433
ENSMUST00000087086	3863	385	1440	2038
ENSMUST00000114086	7662	490	906	6266
ENSMUST00000010319	3285	304	2214	767
ENSMUST00000128957	3907	159	1536	2212
ENSMUST00000194046	1122	263	525	334
ENSMUST00000079957	674	120	261	293
ENSMUST00000186206	1572	NA	NA	NA
ENSMUST00000191104	9904	2	5604	4298
ENSMUST00000114415	5805	806	2202	2797
ENSMUST00000111336	3171	25	510	2636
ENSMUST00000159861	9518	929	5370	3219
ENSMUST00000185912	4527	289	2337	1901
ENSMUST00000112643	2873	298	1581	994
ENSMUST00000187537	4006	366	2481	1159
ENSMUST00000053144	704	319	270	115
ENSMUST00000048953	8292	466	3501	4325
ENSMUST00000114902	2724	529	2073	122
ENSMUST00000169439	781	104	432	245
ENSMUST00000051431	4925	29	1107	3789
ENSMUST00000178235	1756	57	1311	388
ENSMUST00000121473	12037	303	3879	7855
ENSMUST00000045902	4066	47	1608	2411
ENSMUST00000159250	2473	296	1515	662
ENSMUST00000193106	256	NA	NA	NA
ENSMUST00000062159	2475	NA	NA	NA
ENSMUST00000162819	7045	541	1926	4578
ENSMUST00000061421	1086	108	747	231
ENSMUST00000161737	1355	154	879	322
ENSMUST00000094917	1869	80	1242	547
ENSMUST00000027123	2423	248	1722	453
ENSMUST00000171292	3346	119	1773	1454
ENSMUST00000016344	1904	82	1725	97
ENSMUST00000176720	450	53	303	94
ENSMUST00000188073	2832	105	1470	1257
ENSMUST00000186769	572	NA	NA	NA
ENSMUST00000185465	545	NA	NA	NA
ENSMUST00000186380	4561	98	4152	311
ENSMUST00000111263	6528	1320	1566	3642
ENSMUST00000088310	7561	26	6078	1457
ENSMUST00000186266	623	243	321	59
ENSMUST00000147571	1360	602	678	80
ENSMUST00000093508	1921	190	1338	393
ENSMUST00000238280	1521	648	561	312
ENSMUST00000160968	1204	158	678	368
ENSMUST00000119526	679	88	561	30
ENSMUST00000090313	2427	301	1962	164
ENSMUST00000176052	506	NA	NA	NA
ENSMUST00000191209	1067	NA	NA	NA
ENSMUST00000189460	548	NA	NA	NA
ENSMUST00000027131	5498	587	2502	2409
ENSMUST00000067976	3088	625	1461	1002
ENSMUST00000070330	4601	211	2580	1810
ENSMUST00000050047	2180	100	696	1384
ENSMUST00000055226	8315	193	7434	688
ENSMUST00000180215	643	98	408	137
ENSMUST00000179801	3827	67	813	2947
ENSMUST00000027970	1374	133	1020	221
ENSMUST00000027843	3065	212	1620	1233
ENSMUST00000194172	1200	72	714	414
ENSMUST00000039046	1178	71	486	621
ENSMUST00000212394	2574	NA	2574	NA
ENSMUST00000115352	960	100	339	521
ENSMUST00000111357	2575	119	282	2174
ENSMUST00000009340	1785	253	1278	254
ENSMUST00000016338	1623	367	879	377
ENSMUST00000118207	912	81	627	204
ENSMUST00000097713	8562	360	2286	5916
ENSMUST00000027493	5779	313	4152	1314
ENSMUST00000194690	8590	477	2565	5548
ENSMUST00000111926	2835	187	2223	425
ENSMUST00000027945	1196	48	882	266
ENSMUST00000065420	2217	88	1776	353
ENSMUST00000192491	1623	128	1056	439
ENSMUST00000194468	1065	NA	NA	NA
ENSMUST00000195717	6967	212	4737	2018
ENSMUST00000094964	12245	69	12075	101
ENSMUST00000028010	2046	63	1605	378
ENSMUST00000048377	6327	310	3765	2252
ENSMUST00000027667	4669	195	2187	2287
ENSMUST00000190488	3301	NA	NA	NA
ENSMUST00000168381	3621	69	2979	573
ENSMUST00000123082	3953	39	1239	2675
ENSMUST00000042509	5882	822	3390	1670
ENSMUST00000187184	2013	324	1503	186
ENSMUST00000112583	7212	376	5730	1106
ENSMUST00000027215	1272	317	678	277
ENSMUST00000184643	2201	65	2106	30
ENSMUST00000126626	2953	302	1959	692
ENSMUST00000027503	1003	107	639	257
ENSMUST00000146220	879	198	375	306
ENSMUST00000190720	473	NA	NA	NA
ENSMUST00000028005	1097	98	462	537
ENSMUST00000191565	1489	29	1272	188
ENSMUST00000171322	3609	467	1437	1705
ENSMUST00000038782	1546	78	1305	163
ENSMUST00000186683	267	NA	NA	NA
ENSMUST00000190485	5226	NA	NA	NA
ENSMUST00000185265	532	48	228	256
ENSMUST00000068333	1951	55	1770	126
ENSMUST00000027331	1508	44	681	783
ENSMUST00000193703	11229	127	1626	9476
ENSMUST00000027168	2241	201	2040	NA
ENSMUST00000041815	3400	585	2094	721
ENSMUST00000066374	2344	119	1908	317
ENSMUST00000238601	2355	33	2175	147
ENSMUST00000079451	3297	192	1245	1860
ENSMUST00000065469	1161	NA	NA	NA
ENSMUST00000115488	1554	NA	1554	NA
ENSMUST00000204009	2815	162	936	1717
ENSMUST00000044828	6675	136	2904	3635
ENSMUST00000167518	5058	234	621	4203
ENSMUST00000071985	4908	62	2169	2677
ENSMUST00000168515	6067	405	3564	2098
ENSMUST00000153617	1615	28	987	600
ENSMUST00000027068	2938	188	1125	1625
ENSMUST00000119972	1051	104	729	218
ENSMUST00000078844	198	NA	NA	NA
ENSMUST00000073179	1781	22	462	1297
ENSMUST00000170472	3928	59	1938	1931
ENSMUST00000190771	2483	153	1599	731
ENSMUST00000097817	198	NA	198	NA
ENSMUST00000153115	3495	1059	624	1812
ENSMUST00000010597	4663	128	2634	1901
ENSMUST00000190116	5558	247	1710	3601
ENSMUST00000193732	631	NA	NA	NA
ENSMUST00000165066	13529	281	3066	10182
ENSMUST00000086432	291	NA	NA	NA
ENSMUST00000145092	564	70	282	212
ENSMUST00000190148	1271	NA	NA	NA
ENSMUST00000188797	3612	57	2961	594
ENSMUST00000072235	646	35	441	170
ENSMUST00000186285	524	NA	NA	NA
ENSMUST00000087659	11171	94	4737	6340
ENSMUST00000120415	621	55	486	80
ENSMUST00000018337	11586	269	1596	9721
ENSMUST00000147393	2030	37	270	1723
ENSMUST00000112717	1611	36	1164	411
ENSMUST00000114541	4616	177	3255	1184
ENSMUST00000191457	528	NA	NA	NA
ENSMUST00000047534	5030	249	585	4196
ENSMUST00000188786	487	NA	NA	NA
ENSMUST00000187758	3977	116	3708	153
ENSMUST00000036643	1143	66	945	132
ENSMUST00000186955	411	NA	NA	NA
ENSMUST00000114493	3619	375	321	2923
ENSMUST00000097080	2131	40	1674	417
ENSMUST00000195635	996	NA	NA	NA
ENSMUST00000111264	2349	490	1686	173
ENSMUST00000055001	1477	235	858	384
ENSMUST00000052911	1360	NA	1320	40
ENSMUST00000126008	4620	92	1263	3265
ENSMUST00000111435	2285	136	813	1336
ENSMUST00000114348	1033	337	486	210
ENSMUST00000045288	5116	1215	1245	2656
ENSMUST00000162342	2876	120	465	2291
ENSMUST00000194643	657	NA	NA	NA
ENSMUST00000186563	641	NA	NA	NA
ENSMUST00000064341	1561	502	792	267
ENSMUST00000104983	1338	205	525	608
ENSMUST00000027121	3677	523	1503	1651
ENSMUST00000171319	352	155	162	35
ENSMUST00000027440	1218	NA	1218	NA
ENSMUST00000189316	2924	162	1572	1190
ENSMUST00000081216	3610	251	1230	2129
ENSMUST00000111289	3041	208	873	1960
ENSMUST00000193094	2776	39	1290	1447
ENSMUST00000136521	6506	138	426	5942
ENSMUST00000212202	958	16	942	NA
ENSMUST00000114345	1175	272	363	540
ENSMUST00000085555	5570	122	2307	3141
ENSMUST00000212573	3952	181	3744	27
ENSMUST00000186355	1491	NA	NA	NA
ENSMUST00000027649	4733	158	1683	2892
ENSMUST00000178036	3586	403	2949	234
ENSMUST00000160260	13022	56	2382	10584
ENSMUST00000068564	3076	163	798	2115
ENSMUST00000067429	3490	209	1470	1811
ENSMUST00000132064	4165	614	1551	2000
ENSMUST00000070699	6528	150	2796	3582
ENSMUST00000006462	1817	115	1308	394
ENSMUST00000112442	3388	128	966	2294
ENSMUST00000169123	921	NA	921	NA
ENSMUST00000169324	7034	67	1881	5086
ENSMUST00000111243	3470	86	3099	285
ENSMUST00000236737	300	NA	300	NA
ENSMUST00000152491	1163	121	726	316
ENSMUST00000190681	722	NA	NA	NA
ENSMUST00000027102	1758	62	504	1192
ENSMUST00000027673	1186	225	531	430
ENSMUST00000182819	816	NA	NA	NA
ENSMUST00000112603	4477	NA	2370	2107
ENSMUST00000066668	2488	303	1422	763
ENSMUST00000027062	1741	242	606	893
ENSMUST00000062289	2487	339	846	1302
ENSMUST00000152239	1046	345	678	23
ENSMUST00000042857	6277	1450	2025	2802
ENSMUST00000161449	2405	NA	NA	NA
ENSMUST00000110849	3791	112	1305	2374
ENSMUST00000097493	3217	76	2784	357
ENSMUST00000188307	3049	217	2700	132
ENSMUST00000188454	8463	591	2553	5319
ENSMUST00000187198	1340	NA	NA	NA
ENSMUST00000052404	6442	154	2196	4092
ENSMUST00000111326	2753	209	825	1719
ENSMUST00000180589	463	NA	NA	NA
ENSMUST00000195442	1877	245	1434	198
ENSMUST00000057062	3430	194	1236	2000
ENSMUST00000192227	2113	176	1410	527
ENSMUST00000162877	2630	256	1017	1357
ENSMUST00000016672	2854	301	1161	1392
ENSMUST00000161954	7090	441	5526	1123
ENSMUST00000181660	2085	NA	NA	NA
ENSMUST00000210156	825	355	303	167
ENSMUST00000112751	7191	1394	711	5086
ENSMUST00000238874	108	NA	108	NA
ENSMUST00000027863	2580	498	915	1167
ENSMUST00000114275	2982	699	1965	318
ENSMUST00000168126	3446	759	1500	1187
ENSMUST00000094646	4633	281	1335	3017
ENSMUST00000086444	3137	158	2979	NA
ENSMUST00000186948	641	156	339	146
ENSMUST00000187752	5194	265	3882	1047
ENSMUST00000111913	3273	413	1344	1516
ENSMUST00000193939	2520	NA	NA	NA
ENSMUST00000004133	4167	886	2352	929
ENSMUST00000195476	1843	NA	NA	NA
ENSMUST00000068681	3109	256	2133	720
ENSMUST00000191087	2613	NA	NA	NA
ENSMUST00000061497	625	36	525	64
ENSMUST00000086074	7523	211	2592	4720
ENSMUST00000239361	891	NA	891	NA
ENSMUST00000190308	589	NA	NA	NA
ENSMUST00000188204	972	177	357	438
ENSMUST00000040689	3764	184	2520	1060
ENSMUST00000069799	9144	923	3696	4525
ENSMUST00000194402	1373	67	1269	37
ENSMUST00000148677	2462	94	1467	901
ENSMUST00000135518	5432	245	4569	618
ENSMUST00000072395	1063	72	933	58
ENSMUST00000112641	5158	430	1467	3261
ENSMUST00000190504	2092	NA	NA	NA
ENSMUST00000177136	1543	NA	NA	NA
ENSMUST00000065941	2219	251	1701	267
ENSMUST00000176822	1119	285	243	591
ENSMUST00000111277	2155	6	1911	238
ENSMUST00000190607	453	30	402	21
ENSMUST00000087475	1823	71	1212	540
ENSMUST00000096608	2956	139	2676	141
ENSMUST00000186415	1106	117	795	194
ENSMUST00000190105	545	NA	NA	NA
ENSMUST00000193985	551	NA	NA	NA
ENSMUST00000214446	5204	400	924	3880
ENSMUST00000186055	686	NA	NA	NA
ENSMUST00000094303	1912	91	807	1014
ENSMUST00000189240	613	NA	NA	NA
ENSMUST00000097801	4318	34	4146	138
ENSMUST00000027769	2449	136	1191	1122
ENSMUST00000112465	880	59	531	290
ENSMUST00000053469	2666	749	657	1260
ENSMUST00000151004	1001	389	465	147
ENSMUST00000058825	1819	66	972	781
ENSMUST00000164574	597	290	210	97
ENSMUST00000150649	2748	63	1761	924
ENSMUST00000185234	2317	101	1734	482
ENSMUST00000044260	7111	357	2874	3880
ENSMUST00000187369	4976	342	3933	701
ENSMUST00000111296	1394	59	720	615
ENSMUST00000104984	6905	788	1866	4251
ENSMUST00000190783	471	NA	NA	NA
ENSMUST00000185689	741	NA	NA	NA
ENSMUST00000194583	375	NA	NA	NA
ENSMUST00000039178	5817	132	4683	1002
ENSMUST00000233506	4145	183	135	3827
ENSMUST00000192427	899	NA	NA	NA
ENSMUST00000058437	1163	284	813	66
ENSMUST00000181951	3467	NA	NA	NA
ENSMUST00000027579	2554	207	1257	1090
ENSMUST00000081677	896	203	486	207
ENSMUST00000086882	3862	NA	1404	2458
ENSMUST00000160879	561	75	336	150
ENSMUST00000190229	2170	NA	NA	NA
ENSMUST00000190726	702	332	321	49
ENSMUST00000110975	2801	109	2202	490
ENSMUST00000097698	932	43	783	106
ENSMUST00000192024	1361	12	885	464
ENSMUST00000185356	4916	60	3582	1274
ENSMUST00000187546	856	80	630	146
ENSMUST00000211837	4543	123	4395	25
ENSMUST00000049470	3149	109	1128	1912
ENSMUST00000028052	6338	183	1113	5042
ENSMUST00000027478	2020	123	1068	829
ENSMUST00000027908	1303	161	1140	2
ENSMUST00000035577	1932	218	1317	397
ENSMUST00000027736	4395	344	2379	1672
ENSMUST00000047409	4032	428	1068	2536
ENSMUST00000238906	5948	60	3765	2123
ENSMUST00000119559	1385	79	1200	106
ENSMUST00000143419	2074	290	1359	425
ENSMUST00000064788	1353	159	690	504
ENSMUST00000162031	3381	227	681	2473
ENSMUST00000001724	2258	114	1983	161
ENSMUST00000111030	2844	127	2370	347
ENSMUST00000189999	2841	299	600	1942
ENSMUST00000169659	2849	78	1557	1214
ENSMUST00000003554	1847	178	1218	451
ENSMUST00000027052	2763	183	1617	963
ENSMUST00000186962	853	NA	NA	NA
ENSMUST00000006037	4897	222	4389	286
ENSMUST00000166291	360	15	159	186
ENSMUST00000140295	4887	1333	1554	2000
ENSMUST00000028016	8815	280	8535	NA
ENSMUST00000049972	2515	179	1854	482
ENSMUST00000160792	1492	485	636	371
ENSMUST00000009777	871	257	312	302
ENSMUST00000068168	4459	202	2844	1413
ENSMUST00000195372	4901	312	4566	23
ENSMUST00000201132	2952	372	933	1647
ENSMUST00000193461	494	NA	NA	NA
ENSMUST00000185425	284	NA	NA	NA
ENSMUST00000194204	2265	307	1182	776
ENSMUST00000074783	17908	NA	16905	1003
ENSMUST00000123490	1851	425	624	802
ENSMUST00000004565	2289	267	621	1401
ENSMUST00000162899	1511	189	270	1052
ENSMUST00000188704	586	NA	NA	NA
ENSMUST00000195705	389	29	135	225
ENSMUST00000133677	935	227	678	30
ENSMUST00000097474	5001	190	1149	3662
ENSMUST00000189821	7410	190	6531	689
ENSMUST00000185560	3488	1919	867	702
ENSMUST00000053266	3031	104	2439	488
ENSMUST00000023965	1793	114	1032	647
ENSMUST00000046662	3012	200	1614	1198
ENSMUST00000155992	684	NA	NA	NA
ENSMUST00000111318	1545	34	1314	197
ENSMUST00000214928	4838	143	939	3756
ENSMUST00000094551	1842	NA	1842	NA
ENSMUST00000066859	4361	189	3705	467
ENSMUST00000187918	1467	NA	NA	NA
ENSMUST00000185419	2833	103	1413	1317
ENSMUST00000192001	6329	261	4386	1682
ENSMUST00000212888	5643	NA	5643	NA
ENSMUST00000162226	18814	300	1515	16999
ENSMUST00000006171	1869	25	1272	572
ENSMUST00000186656	647	NA	NA	NA
ENSMUST00000028017	4541	295	2097	2149
ENSMUST00000112998	3243	94	3006	143
ENSMUST00000042228	3754	251	1374	2129
ENSMUST00000097718	13675	742	2751	10182
ENSMUST00000027498	4249	232	1281	2736
ENSMUST00000149380	1180	92	987	101
ENSMUST00000094626	3914	229	2313	1372
ENSMUST00000027213	1765	266	1299	200
ENSMUST00000035295	2048	101	972	975
ENSMUST00000193724	2414	NA	NA	NA
ENSMUST00000186533	538	NA	NA	NA
ENSMUST00000097656	788	89	612	87
ENSMUST00000193705	468	NA	NA	NA
ENSMUST00000064771	3688	204	2724	760
ENSMUST00000222426	828	66	357	405
ENSMUST00000041638	4582	57	2649	1876
ENSMUST00000190855	1359	NA	1359	NA
ENSMUST00000086975	3721	181	984	2556
ENSMUST00000016406	3090	72	1134	1884
ENSMUST00000194642	256	NA	NA	NA
ENSMUST00000168641	5985	NA	5985	NA
ENSMUST00000088615	6978	176	5541	1261
ENSMUST00000163147	3370	152	2220	998
ENSMUST00000187584	9916	146	5472	4298
ENSMUST00000189524	628	376	153	99
ENSMUST00000027682	2269	177	1446	646
ENSMUST00000027565	1659	70	1161	428
ENSMUST00000027778	2294	22	696	1576
ENSMUST00000112030	4633	199	966	3468
ENSMUST00000187836	1862	346	1422	94
ENSMUST00000112026	2065	448	1194	423
ENSMUST00000132370	599	NA	NA	NA
ENSMUST00000189802	871	NA	NA	NA
ENSMUST00000027267	3054	153	2754	147
ENSMUST00000097824	2639	1685	201	753
ENSMUST00000161308	2841	185	411	2245
ENSMUST00000027989	4612	109	1005	3498
ENSMUST00000111276	1082	80	1002	NA
ENSMUST00000115344	960	49	882	29
ENSMUST00000178511	954	128	570	256
ENSMUST00000034868	1796	147	1452	197
ENSMUST00000187764	499	NA	NA	NA
ENSMUST00000086465	4968	261	981	3726
ENSMUST00000194057	1691	81	1263	347
ENSMUST00000163435	2365	463	1671	231
ENSMUST00000114510	5596	240	1812	3544
ENSMUST00000097810	6362	NA	4191	2171
ENSMUST00000190831	653	272	321	60
ENSMUST00000160810	2898	245	2328	325
ENSMUST00000063199	2947	126	1773	1048
ENSMUST00000114325	1587	NA	1587	NA
ENSMUST00000061512	3936	NA	3936	NA
ENSMUST00000160953	8154	189	4977	2988
ENSMUST00000027979	7864	157	1260	6447
ENSMUST00000173404	2775	NA	2775	NA
ENSMUST00000110920	3572	483	1236	1853
ENSMUST00000115161	2231	269	660	1302
ENSMUST00000186794	1533	23	1284	226
ENSMUST00000027032	6869	127	6288	454
ENSMUST00000046049	2388	378	1599	411
ENSMUST00000238289	1637	221	1086	330
ENSMUST00000170269	1371	NA	1371	NA
ENSMUST00000050306	967	138	705	124
ENSMUST00000193083	2277	340	579	1358
ENSMUST00000191200	2215	7	1890	318
ENSMUST00000170295	2286	418	1572	296
ENSMUST00000191896	4396	336	2379	1681
ENSMUST00000006721	720	71	594	55
ENSMUST00000003135	2095	228	1176	691
ENSMUST00000210219	4227	NA	4227	NA
ENSMUST00000027650	2533	75	1173	1285
